                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2692,                 4.5123,                  2.686,                 2.0732,                   18.2,                 2.4367,                      0,                      0,                      0,                      0,                      0,             4.7372e+16,                      0,                      0,             3.2418e+16,                      0,               0.070698,              0.0032558,              0.0032558
                      2,                 2.1946,                 2.4985,                 2.6302,                 2.1367,                 2.7573,                  2.409,                0.00518,                0.35503,                0.00292,                0.00079,                 2.2833,             4.1475e+07,             1.0313e+05,                  3.203,             2.6514e+07,             1.7462e+05,               0.040658,               0.006549,               0.006549
                      3,                 1.7463,                 1.7754,                 2.3134,                  1.677,                 2.2184,                 2.1375,                0.01183,                0.01183,                0.00127,                 0.0002,                 4.7229,                 1653.6,                 134.62,                  7e-05,                 267.66,                0.00066,               0.010457,              0.0096821,              0.0096821
                      4,                 1.4337,                 1.3624,                  2.031,                 1.4972,                 1.7442,                 2.0143,                0.43114,                0.11243,                0.08292,                0.03068,                  1.945,                 16.696,                 3.5089,                 2.9861,                 14.576,                 3.9122,              0.0094605,              0.0094605,              0.0094605
                      5,                 1.1137,                  1.051,                 1.7212,                 1.3149,                 1.3196,                 1.8556,                0.43038,                0.13018,                0.10723,                0.04814,                 2.6714,                 8.2488,                 4.0841,                 3.0612,                 6.0679,                 5.0088,              0.0094605,              0.0094605,              0.0094605
                      6,                 0.9921,                0.88219,                   1.57,                 1.1708,                 1.0914,                 1.6925,                0.22984,                0.36024,                0.18625,                0.04315,                  2.649,                 4.5575,                 5.4633,                 2.5472,                  5.203,                 5.6127,              0.0090546,              0.0090546,              0.0090546
                      7,                0.87312,                0.74739,                 1.4412,                 1.0577,                 0.9547,                 1.5896,                0.64222,                0.56293,                0.65453,                0.49429,                0.83257,                 1.6565,                 1.5481,                 0.9661,                  2.414,                 1.7376,              0.0085502,              0.0085502,              0.0085502
                      8,                0.77231,                  0.655,                 1.3547,                0.92785,                0.82667,                 1.5016,                0.79388,                0.92899,                0.94268,                0.82437,                0.60849,                0.56496,                 1.1437,                0.57148,                0.91746,                 1.1442,              0.0079595,              0.0079595,              0.0079595
                      9,                0.70514,                0.58015,                 1.2676,                0.85897,                0.70872,                 1.3915,                0.81443,                 0.7574,                0.79656,                 0.6288,                0.65872,                 1.0599,                 1.3552,                0.84043,                  2.093,                 1.3772,              0.0072973,              0.0072973,              0.0072973
                     10,                0.67613,                0.53954,                 1.2562,                0.80913,                0.64514,                 1.3575,                0.72597,                 0.8284,                0.88653,                 0.8009,                0.44121,                0.49483,                0.97338,                 0.4828,                 1.1281,                 1.0498,              0.0065796,              0.0065796,              0.0065796
                     11,                0.39941,                0.36606,                0.99512,                0.52655,                0.38982,                 1.1256,                0.93077,                0.86391,                0.96878,                0.86215,                0.43703,                0.49656,                0.99708,                 0.5175,                0.41219,                 1.0545,              0.0058244,              0.0058244,              0.0058244
                     12,                0.37704,                0.32055,                0.97138,                0.46598,                0.30936,                 1.0635,                 0.7655,                0.85207,                 0.8892,                0.82805,                0.38416,                0.55037,                0.94818,                0.42151,                0.63458,                0.99727,                0.00505,                0.00505,                0.00505
                     13,                0.35743,                0.29884,                0.96396,                0.44859,                0.30444,                 1.0556,                0.90597,                0.97041,                0.98338,                 0.9158,                0.33033,                0.30134,                0.90079,                0.39118,                0.29325,                0.97374,              0.0042756,              0.0042756,              0.0042756
                     14,                 0.3178,                0.27142,                0.92582,                0.39804,                0.29568,                0.99504,                0.96559,                0.97041,                0.99139,                0.93616,                0.32077,                0.25041,                0.89937,                0.35707,                0.23193,                0.92489,              0.0035204,              0.0035204,              0.0035204
                     15,                0.30674,                0.26011,                0.91243,                 0.3863,                0.23679,                0.98769,                0.94676,                0.95266,                0.98894,                0.93549,                0.28957,                0.22799,                0.87433,                0.35773,                0.21544,                0.91879,              0.0028027,              0.0028027,              0.0028027
                     16,                0.28734,                0.23854,                0.89525,                0.35315,                0.23695,                0.94686,                0.94791,                0.97633,                0.99078,                0.96366,                0.25828,                0.20228,                0.85689,                0.29379,                0.19192,                0.88068,              0.0021405,              0.0021405,              0.0021405
                     17,                0.28291,                0.23167,                0.90063,                0.33592,                0.22696,                0.94442,                0.93721,                0.97146,                0.98961,                0.95332,                0.28522,                0.20167,                 0.8691,                0.30507,                0.17941,                0.88051,              0.0015498,              0.0015498,              0.0015498
                     18,                0.26262,                0.21623,                0.88183,                0.31799,                0.21037,                0.93125,                0.99391,                0.96516,                0.99286,                0.97733,                0.24385,                0.17913,                0.85066,                0.25289,                0.14442,                0.86049,              0.0010454,              0.0010454,              0.0010454
                     19,                0.25468,                0.20673,                0.88431,                  0.307,                0.19795,                0.92827,                0.98586,                0.94675,                0.99117,                0.97014,                0.25437,                0.18592,                0.85592,                0.25932,                0.16486,                 0.8646,             0.00063952,             0.00063952,             0.00063952
                     20,                0.25066,                0.20146,                0.87986,                0.29684,                0.18152,                0.91657,                0.98783,                0.96056,                 0.9923,                0.97659,                0.23847,                0.17252,                0.85018,                0.24594,                0.15007,                0.86088,             0.00034227,             0.00034227,             0.00034227
