epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8944,1.81153,3.35961,2.09796,0,0,0,0,nan,nan,nan,0.0706977,0.00325581,0.00325581
2,114.456,1.32674,1.19907,1.76172,0,0,0,0,nan,nan,nan,0.0406575,0.00654899,0.00654899
3,171.382,1.03851,0.88002,1.5177,0.02191,0.27219,0.00911,0.00136,4.00188,66.1337,12.8728,0.0104573,0.00968209,0.00968209
4,228.247,0.87815,0.7278,1.37998,0.32418,0.94675,0.84073,0.57403,0.99562,12.4309,2.05426,0.00946048,0.00946048,0.00946048
5,284.966,0.75076,0.6149,1.26865,0.81397,0.5503,0.59458,0.42761,1.41165,3.02752,2.352,0.00905463,0.00905463,0.00905463
6,341.561,0.71587,0.57752,1.23972,0.62172,0.65089,0.65462,0.38344,1.54064,2.11709,2.72186,0.00855018,0.00855018,0.00855018
7,398.047,0.65436,0.51842,1.18822,0.56609,0.44379,0.47597,0.35327,1.42938,1.79618,2.24326,0.00795954,0.00795954,0.00795954
8,454.29,0.6065,0.48498,1.14566,0.95144,0.81657,0.89572,0.76611,0.63047,0.75241,1.21332,0.00729725,0.00729725,0.00729725
9,510.809,0.59209,0.46753,1.14097,0.98938,0.98225,0.99455,0.91735,0.4102,0.373,0.9733,0.00657963,0.00657963,0.00657963
10,567.587,0.54247,0.43389,1.10537,0.9944,1,0.995,0.91443,0.46141,0.35314,0.97485,0.00582435,0.00582435,0.00582435
11,623.109,0.38628,0.32433,0.98314,0.99411,0.99832,0.995,0.93815,0.36517,0.35569,0.93151,0.00505,0.00505,0.00505
12,678.607,0.35975,0.30532,0.94891,0.96009,1,0.99259,0.93352,0.3809,0.32314,0.93234,0.00427565,0.00427565,0.00427565
13,734.088,0.34015,0.28169,0.9372,0.99668,1,0.995,0.95717,0.33246,0.26473,0.89426,0.00352037,0.00352037,0.00352037
14,789.433,0.32104,0.27026,0.92452,0.99839,1,0.995,0.96702,0.28812,0.24021,0.87012,0.00280275,0.00280275,0.00280275
15,844.873,0.29251,0.24889,0.90328,0.99911,1,0.995,0.97032,0.28039,0.20845,0.8872,0.00214046,0.00214046,0.00214046
16,900.072,0.27399,0.23046,0.90002,0.99872,0.99408,0.995,0.97958,0.24871,0.19497,0.85337,0.00154982,0.00154982,0.00154982
17,955.308,0.26599,0.21697,0.89001,0.9993,1,0.995,0.96886,0.27802,0.19145,0.86054,0.00104537,0.00104537,0.00104537
18,1010.43,0.24883,0.20505,0.87851,0.99903,1,0.995,0.98141,0.235,0.17066,0.83941,0.000639518,0.000639518,0.000639518
19,1065.74,0.24531,0.19676,0.872,0.99885,1,0.995,0.97735,0.22569,0.16213,0.83483,0.00034227,0.00034227,0.00034227
20,1120.9,0.23563,0.18838,0.87553,0.99865,1,0.995,0.98037,0.21609,0.15086,0.83279,0.000160943,0.000160943,0.000160943
