               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072869,            0.025824,                   0,             0.62162,             0.76923,             0.72945,             0.42483,            0.020748,              0.0106,                   0,            0.070698,           0.0032558,           0.0032558
                   1,            0.042824,            0.015945,                   0,             0.65719,             0.91716,             0.78922,             0.39477,            0.020928,           0.0044339,                   0,            0.040372,            0.006263,            0.006263
                   2,            0.038317,              0.0122,                   0,             0.90276,             0.98225,              0.9587,             0.64482,            0.014964,           0.0032695,                   0,           0.0097153,           0.0089402,           0.0089402
                   3,            0.033806,           0.0098505,                   0,             0.70931,             0.97041,             0.87717,             0.68716,            0.015525,           0.0026484,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.028676,           0.0082335,                   0,             0.98604,                   1,             0.99465,             0.75704,            0.010719,           0.0021292,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.025348,           0.0074456,                   0,             0.98136,             0.97633,             0.99087,             0.83003,            0.010537,           0.0020129,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.021226,           0.0070407,                   0,             0.99354,             0.99408,              0.9947,             0.88415,           0.0062218,           0.0016855,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.020148,           0.0069102,                   0,             0.99384,                   1,               0.995,              0.7984,           0.0077449,           0.0017383,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.018998,           0.0064397,                   0,             0.99319,                   1,             0.99488,              0.9093,           0.0047176,           0.0015955,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.018094,             0.00626,                   0,             0.99704,                   1,               0.995,             0.87536,           0.0059939,           0.0015604,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.016422,           0.0062182,                   0,              0.9909,                   1,             0.99482,             0.92226,            0.004122,            0.001451,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.014593,           0.0057581,                   0,             0.98676,             0.99408,             0.99464,             0.92583,           0.0035659,           0.0014069,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.014008,           0.0053818,                   0,              0.9978,             0.99408,               0.995,             0.95762,            0.003876,           0.0012794,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.013682,           0.0053441,                   0,             0.99383,             0.99408,               0.995,             0.93038,           0.0037947,           0.0013179,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.011724,           0.0049346,                   0,             0.99981,                   1,               0.995,             0.95118,           0.0032307,           0.0011619,                   0,            0.003565,            0.003565,            0.003565
                  15,             0.01147,           0.0048142,                   0,             0.99411,              0.9993,             0.99476,             0.95732,           0.0030564,           0.0012513,                   0,             0.00307,             0.00307,             0.00307
                  16,             0.01077,           0.0048695,                   0,             0.99731,                   1,               0.995,             0.97101,           0.0030372,           0.0011393,                   0,            0.002575,            0.002575,            0.002575
                  17,           0.0097491,           0.0045821,                   0,             0.99985,                   1,               0.995,              0.9763,           0.0024017,           0.0011216,                   0,             0.00208,             0.00208,             0.00208
                  18,           0.0083871,           0.0045924,                   0,             0.99932,                   1,               0.995,             0.97688,            0.002313,           0.0010761,                   0,            0.001585,            0.001585,            0.001585
                  19,           0.0079258,           0.0044204,                   0,              0.9994,                   1,               0.995,             0.98215,            0.002217,           0.0010879,                   0,             0.00109,             0.00109,             0.00109
